"track_name","track_artist","playlist_genre","cluster","predicted_genre","genre_match"
"Die With A Smile","Lady Gaga, Bruno Mars","pop","4","pop",TRUE
"BIRDS OF A FEATHER","Billie Eilish","pop","4","pop",TRUE
"That’s So True","Gracie Abrams","pop","4","pop",TRUE
"Taste","Sabrina Carpenter","pop","4","pop",TRUE
"Paralyzer","Finger Eleven","rock","4","pop",FALSE
"Good Luck, Babe!","Chappell Roan","pop","4","pop",TRUE
"Diet Pepsi","Addison Rae","pop","4","pop",TRUE
"In the Shadows","The Rasmus","rock","4","pop",FALSE
"Take Me Out","Franz Ferdinand","rock","4","pop",FALSE
"Timeless (with Playboi Carti)","The Weeknd, Playboi Carti","pop","4","pop",TRUE
"Guess featuring billie eilish","Charli xcx, Billie Eilish","pop","4","pop",TRUE
"Please Please Please","Sabrina Carpenter","pop","4","pop",TRUE
"2 hands","Tate McRae","pop","4","pop",TRUE
"A Bar Song (Tipsy)","Shaboozey","pop","4","pop",TRUE
"HOT TO GO!","Chappell Roan","pop","4","pop",TRUE
"Disease","Lady Gaga","pop","4","pop",TRUE
"Moonlit Floor (Kiss Me)","LISA","pop","4","pop",TRUE
"Love Somebody","Morgan Wallen","pop","4","pop",TRUE
"ON DÉGAINE","Guy2Bezbar","hip-hop","4","pop",FALSE
"Move","Adam Port, Stryv, Keinemusik, Orso, Malachiii","pop","4","pop",TRUE
"Master Of Puppets","Metallica","metal","4","pop",FALSE
"Espresso","Sabrina Carpenter","pop","4","pop",TRUE
"Mantra","JENNIE","pop","4","pop",TRUE
"Chop Suey!","System Of A Down","metal","4","pop",FALSE
"NEW DROP","Don Toliver","pop","4","pop",TRUE
"I Had Some Help (Feat. Morgan Wallen)","Post Malone, Morgan Wallen","pop","4","pop",TRUE
"Too Sweet","Hozier","pop","4","pop",TRUE
"Cowboys from Hell","Pantera","metal","4","pop",FALSE
"Tu Boda","Oscar Maydon, Fuerza Regida","pop","4","pop",TRUE
"Stargazing","Myles Smith","pop","4","pop",TRUE
"Hail to the King","Avenged Sevenfold","metal","4","pop",FALSE
"we can't be friends (wait for your love)","Ariana Grande","pop","4","pop",TRUE
"Beautiful Things","Benson Boone","pop","4","pop",TRUE
"Nightmare","Avenged Sevenfold","metal","4","pop",FALSE
"Touch","KATSEYE","pop","4","pop",TRUE
"Lose Control","Teddy Swims","pop","4","pop",TRUE
"Belong Together","Mark Ambor","pop","4","pop",TRUE
"Si Antes Te Hubiera Conocido","KAROL G","pop","4","pop",TRUE
"End of Beginning","Djo","pop","4","pop",TRUE
"Gives You Hell","The All-American Rejects","punk","4","pop",FALSE
"1985","Bowling For Soup","punk","4","pop",FALSE
"Not Like Us","Kendrick Lamar","pop","4","pop",TRUE
"Running Wild","Jin","pop","4","pop",TRUE
"+57","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","pop","4","pop",TRUE
"Embrace It","Ndotz","pop","4","pop",TRUE
"The Emptiness Machine","Linkin Park","pop","4","pop",TRUE
"Who","Jimin","pop","4","pop",TRUE
"Hotel California - 2013 Remaster","Eagles","rock","4","pop",FALSE
"Thunderstruck","AC/DC","rock","4","pop",FALSE
"Seven Nation Army","The White Stripes","rock","4","pop",FALSE
"Creep","Radiohead","rock","4","pop",FALSE
"Come As You Are","Nirvana","rock","4","pop",FALSE
"Californication","Red Hot Chili Peppers","rock","4","pop",FALSE
"Sweet Child O' Mine","Guns N' Roses","rock","4","pop",FALSE
"Paint It, Black","The Rolling Stones","rock","4","pop",FALSE
"Dreams - 2004 Remaster","Fleetwood Mac","rock","4","pop",FALSE
"Everlong","Foo Fighters","rock","4","pop",FALSE
"I Love Rock 'N Roll","Joan Jett & the Blackhearts","rock","4","pop",FALSE
"Beverly Hills","Weezer","punk","4","pop",FALSE
"Another Brick in the Wall, Pt. 2","Pink Floyd","rock","4","pop",FALSE
"Runaway","Bon Jovi","rock","4","pop",FALSE
"Basket Case","Green Day","rock","4","pop",FALSE
"Under the Bridge","Red Hot Chili Peppers","rock","4","pop",FALSE
"White Wedding - Pt. 1","Billy Idol","rock","4","pop",FALSE
